
//-- 19.08.2015 19:22:22  -----------------------------

221  12:21:33 GetServerVersion97 result 0
222  12:21:33 GetServerVersion97 on 10
223  12:21:33 GetServerVersion97 result 0
224  12:21:33 GetServerVersion97 on 11
225  12:21:33 GetServerVersion97 result 0
226  12:21:33 GetServerVersion97 on 12
227  12:21:33 GetServerVersion97 result 0
228  12:21:43 GetServerVersion97 on 0
229  12:21:43 GetServerVersion97 result 0
230  12:21:43 GetServerVersion97 on 1
231  12:21:43 GetServerVersion97 result 0
232  12:21:43 GetServerVersion97 on 2
233  12:21:43 GetServerVersion97 result 0
234  12:21:43 GetServerVersion97 on 3
235  12:21:43 GetServerVersion97 result 0
236  12:21:43 GetServerVersion97 on 4
237  12:21:43 GetServerVersion97 result 0
238  12:21:43 GetServerVersion97 on 5
239  12:21:43 GetServerVersion97 result 0
240  12:21:43 GetServerVersion97 on 6
241  12:21:43 GetServerVersion97 result 0
242  12:21:43 GetServerVersion97 on 7
243  12:21:43 GetServerVersion97 result 0
244  12:21:43 GetServerVersion97 on 8
245  12:21:43 GetServerVersion97 result 0
246  12:21:43 GetServerVersion97 on 9
247  12:21:43 GetServerVersion97 result 0
248  12:21:43 GetServerVersion97 on 10
249  12:21:43 GetServerVersion97 result 0
250  12:21:43 GetServerVersion97 on 11
251  12:21:43 GetServerVersion97 result 0
252  12:21:43 GetServerVersion97 on 12
253  12:21:43 GetServerVersion97 result 0
254  12:21:53 GetServerVersion97 on 0
255  12:21:53 GetServerVersion97 result 0
256  12:21:53 GetServerVersion97 on 1
257  12:21:53 GetServerVersion97 result 0
258  12:21:53 GetServerVersion97 on 2
259  12:21:53 GetServerVersion97 result 0
260  12:21:53 GetServerVersion97 on 3
261  12:21:53 GetServerVersion97 result 0
262  12:21:53 GetServerVersion97 on 4
263  12:21:53 GetServerVersion97 result 0
264  12:21:53 GetServerVersion97 on 5
265  12:21:53 GetServerVersion97 result 0
266  12:21:53 GetServerVersion97 on 6
267  12:21:53 GetServerVersion97 result 0
268  12:21:53 GetServerVersion97 on 7
269  12:21:53 GetServerVersion97 result 0
270  12:21:53 GetServerVersion97 on 8
271  12:21:53 GetServerVersion97 result 0
272  12:21:53 GetServerVersion97 on 9
273  12:21:53 GetServerVersion97 result 0
274  12:21:53 GetServerVersion97 on 10
275  12:21:53 GetServerVersion97 result 0
276  12:21:53 GetServerVersion97 on 11
277  12:21:53 GetServerVersion97 result 0
278  12:21:53 GetServerVersion97 on 12
279  12:21:53 GetServerVersion97 result 0
280  12:22:03 GetServerVersion97 on 0
281  12:22:03 GetServerVersion97 result 0
282  12:22:03 GetServerVersion97 on 1
283  12:22:03 GetServerVersion97 result 0
284  12:22:03 GetServerVersion97 on 2
285  12:22:03 GetServerVersion97 result 0
286  12:22:03 GetServerVersion97 on 3
